season,match_type,match_name,round,date,home_team,away_team,result,win_loss
2015,中超联赛,中超联赛7轮,第7轮,2015-04-26,上海上港,河南建业,3-0,胜
2015,中超联赛,中超联赛8轮,第8轮,2015-05-03,杭州绿城,上海上港,1-1,平
2015,中超联赛,中超联赛9轮,第9轮,2015-05-09,上海上港,上海申花,5-0,胜
2015,足协杯,足协杯十六分之一决赛,十六分之一决赛,2015-05-12,大连超越,上海上港,1-2,胜
2015,中超联赛,中超联赛10轮,第10轮,2015-05-15,广州恒大,上海上港,1-1,平
2015,中超联赛,中超联赛11轮,第11轮,2015-05-22,贵州人和,上海上港,2-0,负
2015,中超联赛,中超联赛12轮,第12轮,2015-05-29,上海上港,山东鲁能,3-4,负
2015,中超联赛,中超联赛13轮,第13轮,2015-06-03,石家庄永昌,上海上港,2-2,平
2015,中超联赛,中超联赛14轮,第14轮,2015-06-19,上海上港,长春亚泰,5-3,胜
2015,中超联赛,中超联赛15轮,第15轮,2015-06-24,辽宁宏运,上海上港,1-3,胜
2015,中超联赛,中超联赛16轮,第16轮,2015-06-27,江苏舜天,上海上港,1-4,胜
2015,中超联赛,中超联赛17轮,第17轮,2015-07-05,上海上港,上海申鑫,2-0,胜
2015,足协杯,足协杯八分之一决赛,八分之一决赛,2015-07-08,上海上港,广州富力,2-1,胜
2015,中超联赛,中超联赛18轮,第18轮,2015-07-12,广州富力,上海上港,2-3,胜
2015,中超联赛,中超联赛19轮,第19轮,2015-07-16,上海上港,天津泰达,2-1,胜
2015,中超联赛,中超联赛20轮,第20轮,2015-07-20,北京国安,上海上港,0-0,平
2015,中超联赛,中超联赛21轮,第21轮,2015-07-25,重庆力帆,上海上港,2-4,胜
2015,中超联赛,中超联赛22轮,第22轮,2015-08-12,河南建业,上海上港,2-2,平
2015,中超联赛,中超联赛23轮,第23轮,2015-08-16,上海上港,杭州绿城,2-1,胜
2015,足协杯,足协杯四分之一决赛,四分之一决赛,2015-08-19,上海申花,上海上港,3-3,平
2015,中超联赛,中超联赛24轮,第24轮,2015-08-23,上海申花,上海上港,1-2,胜
2015,中超联赛,中超联赛25轮,第25轮,2015-09-12,上海上港,广州恒大,0-3,负
2015,中超联赛,中超联赛26轮,第26轮,2015-09-19,上海上港,贵州人和,3-1,胜
2015,中超联赛,中超联赛27轮,第27轮,2015-09-26,山东鲁能,上海上港,0-1,胜
2015,中超联赛,中超联赛28轮,第28轮,2015-10-17,上海上港,石家庄永昌,2-2,平
2015,中超联赛,中超联赛29轮,第29轮,2015-10-25,长春亚泰,上海上港,0-2,胜
2015,中超联赛,中超联赛30轮,第30轮,2015-10-31,上海上港,辽宁宏运,2-1,胜
2016,亚冠联赛,亚冠联赛资格赛第三轮,第3轮,2016-02-09,上海上港,蒙通联,3-0,胜
2016,亚冠联赛,亚冠联赛G组第一轮,第1轮,2016-02-24,墨尔本胜利,上海上港,2-1,负
2016,亚冠联赛,亚冠联赛G组第二轮,第2轮,2016-03-02,上海上港,水原三星,2-1,胜
2016,中超联赛,中超联赛1轮,第1轮,2016-03-05,河南建业,上海上港,1-0,负
2016,中超联赛,中超联赛2轮,第2轮,2016-03-11,上海上港,上海申花,1-1,平
2016,亚冠联赛,亚冠联赛G组第三轮,第3轮,2016-03-15,上海上港,大阪钢巴,2-1,胜
